#NAME	EI_01	EI_02	EI_03	EI_04	EI_05	EI_06	EI_07	EI_08	EI_09	EI_10	EI_11	EI_12	EI_13	EI_14	EI_15	EI_16	EI_17	EI_18	EI_19	EI_20	EI_21	EI_22	EI_23	EI_24
#CLASS:Condition	Affected	Affected	Affected	Affected	Affected	Affected	Affected	Affected	Affected	Affected	Affected	Affected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected
#CLASS:Treatment	Sham	Sham	Sham	Sham	Sham	Sham	Vancomycin	Vancomycin	Vancomycin	Vancomycin	Vancomycin	Vancomycin	Sham	Sham	Sham	Sham	Sham	Sham	Vancomycin	Vancomycin	Vancomycin	Vancomycin	Vancomycin	Vancomycin
#CLASS:Sex	Female	Female	Female	Male	Male	Male	Female	Female	Female	Male	Male	Male	Female	Female	Female	Male	Male	Male	Female	Female	Female	Male	Male	Male
ENSMUSG00000000295	6.025482	1.925167	12.910979	3.925284	6.079038	3.353786	5.038555	6.008336	1.753132	2.95541	2.71102	3.96327	2.424272	1.463849	0.852426	1.325235	1.509718	0.095231	1.21681	2.515399	1.942132	0.128909	0.773152	0.208497
ENSMUSG00000000296	3.797791954	3.848356576	0.89445814	4.795264072	3.679699097	3.825323265	9.881246687	4.560941956	4.227024815	3.491982393	5.39810368	4.849027963	2.6830475	5.207293323	9.21461072	8.593598759	6.091850048	5.16309183	6.149950857	4.579210631	5.864793139	4.240520689	6.288115821	7.082078722
ENSMUSG00000000301	500.1315402	272.3908894	160.6717758	352.8748888	422.1571312	280.7470215	563.5458094	453.5037339	298.6382226	227.5622142	209.969419	328.7118048	337.7275433	285.6167445	416.7150582	316.2847895	214.3365209	161.8216958	307.0063767	373.0102566	320.2742398	206.6301248	219.841294	251.5229984
ENSMUSG00000000303	8.385345	4.635005	39.303513	10.611669	20.427181	9.951548	3.444761	6.74514	10.895007	8.14703	9.459357	13.465748	5.538836	10.177275	5.045366	4.459417	18.877432	11.144625	1.466293	9.531875	4.964941	5.768767	3.552058	1.371379
ENSMUSG00000000325	6.928476797	8.731872911	11.9449331	4.678069914	5.887518815	2.033894345	1.472385457	7.627292109	5.475617228	1.05737328	6.0094568	11.90141432	1.743008977	4.44310261	1.156570472	0.697099522	0.867277008	0.835487741	5.034868552	6.486047733	5.55833112	1.593333971	7.516636378	0.758457115
ENSMUSG00000000326	371.0368737	234.6780333	179.3629687	162.2310575	197.033444	396.7115971	286.7003715	190.1084504	178.2046602	322.7699015	370.9452353	266.3645398	164.7306401	160.0510237	202.2330646	188.9421475	261.9311551	233.7508433	212.9435795	203.9269911	146.0827436	186.7715046	175.2867949	199.951534
ENSMUSG00000000339	8.557851	6.881074	10.621966	10.506643	10.557184	8.841056	6.885631	6.409294	5.327681	3.894586	7.293423	7.47384	5.6081	6.301099	4.926894	5.576231	5.192515	6.275637	3.995513	4.491543	4.231993	3.448636	6.188692	3.866317
ENSMUSG00000000340	18.990479	17.864389	15.721752	29.54014	21.485832	19.836792	23.175301	32.345917	30.75972	22.670101	29.388323	28.314592	29.306259	33.219936	33.068802	34.983784	29.61923	24.58304	24.413818	22.63464	27.146854	27.426594	29.315042	32.252625
ENSMUSG00000000346	50.78701	48.862743	71.855591	56.579235	49.170967	60.532944	47.831169	47.131157	44.532688	36.612679	48.87336	44.294678	48.196716	47.828354	45.582108	39.912518	52.675102	47.326679	52.87553	52.941471	52.38525	46.308502	45.196247	43.891697
ENSMUSG00000000355	15.363195	18.125313	15.07815	15.003258	13.870554	22.404852	29.468634	27.629513	15.432491	18.634125	12.991226	15.683494	16.198851	18.292683	15.672307	22.547873	16.368307	12.87255	17.510191	14.441942	11.723436	12.038121	14.817513	14.50968
ENSMUSG00000000374	4.636558	7.298056	9.134205	4.925078	4.79871	4.711977	1.996074	2.646448	4.671849	4.122701	5.212865	2.639712	4.302855	4.840883	3.016776	3.766194	5.269138	5.914364	3.689879	2.379988	3.704041	4.233648	4.148796	3.775408
ENSMUSG00000000378	21.255674	17.672085	22.105831	14.68047	16.579704	19.115591	10.819865	10.683184	9.449226	10.410914	10.647271	8.657886	11.714808	9.56268	8.828633	7.195866	10.12534	13.134468	10.064218	9.828074	8.152138	8.287778	8.982368	9.142351
ENSMUSG00000000384	20.98492773	19.08445351	20.26294092	14.98613423	14.37348875	12.88658667	6.520875778	10.35267343	9.337787677	7.95771096	11.10355444	11.37832074	11.69032133	10.70024271	7.443905022	8.192211704	10.5884406	9.568891396	8.388038851	9.189128712	6.423776707	9.16850632	7.779095241	6.832977171
ENSMUSG00000000385	1.721589	3.045547	8.103666	2.026415	5.508083	0.890018	0.650942	1.094717	0.865628	0.411831	0.234773	0.798449	0.801082	1.300098	1.658455	0.716825	1.327896	0.360078	1.28476	1.352906	1.280543	0	0.515965	0.428397
ENSMUSG00000000399	101.907333	69.110886	62.031719	97.697609	89.079674	95.684196	122.249207	123.843681	78.429398	61.849617	80.04467	99.26461	92.360115	80.095634	95.958397	92.458038	83.432022	65.868469	83.949875	82.059967	79.37471	76.616577	85.937775	80.245613
ENSMUSG00000000420	11.93707162	13.75218649	13.09559095	12.47874869	11.74319996	13.78398457	8.988964615	8.506244718	10.10501536	8.68331322	12.15713754	9.061332205	8.652749784	10.68400013	9.360531475	9.713792881	10.91338347	10.12011377	9.221547419	10.19316209	10.61467575	11.02577812	9.443877948	10.67443051
ENSMUSG00000000439	9.018928	7.520186	10.646023	6.628982	5.842878	8.09748	5.166748	6.141761	4.307773	5.784166	5.694507	5.341158	5.092833	5.44362	5.357537	4.744112	5.660407	4.468907	5.285856	5.654068	5.928343	4.355526	4.719674	4.44485
ENSMUSG00000000440	11.36313539	10.76265766	14.7102974	11.22002586	9.037503758	14.22055458	3.360861615	3.854656583	5.880133861	3.628958758	6.608046815	1.819151921	4.340172138	2.857709813	2.347951377	4.312909171	3.257452808	4.294475784	6.599643073	3.951821603	6.295128276	3.517417945	3.836532	5.801942087
